timestamp,open,low,high,close,volume
2022-01-25 12:23:00,494,494,494,494,0
2022-01-25 12:24:00,494,494,494,494,0
2022-01-25 12:25:00,494,494,494,494,0
2022-01-25 12:26:00,494,494,494,494,0
2022-01-25 12:27:00,494,494,494,494,0
2022-01-25 12:28:00,494,494,494,494,0
2022-01-25 12:29:00,494,494,494,494,0
2022-01-25 12:30:00,494,494,494,494,0
2022-01-25 12:31:00,494,494,494,494,0
2022-01-25 12:32:00,494,494,494,494,0
2022-01-25 12:33:00,494,494,494,494,0
2022-01-25 12:34:00,494,494,494,494,0
2022-01-25 12:35:00,494,494,494,494,0
2022-01-25 12:36:00,494,494,494,494,0
2022-01-25 12:37:00,494,494,494,494,0
2022-01-25 12:38:00,494,494,494,494,0
2022-01-25 12:39:00,494,494,494,494,0
2022-01-25 12:40:00,494,494,494,494,0
2022-01-25 12:41:00,494,494,494,494,0
2022-01-25 12:42:00,494,494,494,494,0
2022-01-25 12:43:00,494,494,494,494,0
2022-01-25 12:44:00,494,494,494,494,0
2022-01-25 12:45:00,494,494,494,494,0
2022-01-25 12:46:00,494,494,494,494,0
2022-01-25 12:47:00,494,494,494,494,0
2022-01-25 12:48:00,494,494,494,494,0
2022-01-25 12:49:00,494,494,494,494,0
2022-01-25 12:50:00,494,494,494,494,0
2022-01-25 12:51:00,494,494,494,494,0
2022-01-25 12:52:00,494,494,494,494,0
2022-01-25 12:53:00,494,494,494,494,0
2022-01-25 12:54:00,494,494,494,494,0
2022-01-25 12:55:00,494,494,494,494,0
2022-01-25 12:56:00,494,494,494,494,0
2022-01-25 12:57:00,494,494,494,494,0
2022-01-25 12:58:00,494,494,494,494,0
2022-01-25 12:59:00,494,494,494,494,0
2022-01-25 13:00:00,494,494,494,494,0
2022-01-25 13:01:00,494,494,494,494,0
2022-01-25 13:02:00,494,494,494,494,0
2022-01-25 13:03:00,494,494,494,494,0
2022-01-25 13:04:00,494,494,494,494,0
2022-01-25 13:05:00,494,494,494,494,0
2022-01-25 13:06:00,494,494,494,494,0
2022-01-25 13:07:00,494,494,494,494,0
2022-01-25 13:08:00,494,494,494,494,0
2022-01-25 13:09:00,494,494,494,494,0
2022-01-25 13:10:00,494,494,494,494,0
2022-01-25 13:11:00,494,494,494,494,0
2022-01-25 13:12:00,494,494,494,494,0
2022-01-25 13:13:00,494,494,494,494,0
2022-01-25 13:14:00,494,494,494,494,0
2022-01-25 13:15:00,494,494,494,494,0
2022-01-25 13:16:00,494,494,494,494,0
2022-01-25 13:17:00,494,494,494,494,0
2022-01-25 13:18:00,494,494,494,494,0
2022-01-25 13:19:00,494,494,494,494,0
2022-01-25 13:20:00,494,494,494,494,0
2022-01-25 13:21:00,494,494,494,494,0
2022-01-25 13:22:00,494,494,494,494,0
2022-01-25 13:23:00,494,494,494,494,0
2022-01-25 13:24:00,494,494,494,494,0
2022-01-25 13:25:00,494,494,494,494,0
2022-01-25 13:26:00,494,494,494,494,0
2022-01-25 13:27:00,494,494,494,494,0
2022-01-25 13:28:00,494,494,494,494,0
2022-01-25 13:29:00,494,494,494,494,0
2022-01-25 13:30:00,496,494,496,494,24400
2022-01-25 13:31:00,494,494,494,494,1900
2022-01-25 13:32:00,494,494,494,494,0
2022-01-25 13:33:00,494,494,494,494,0
2022-01-25 13:34:00,492,492,492,492,100
2022-01-25 13:35:00,492,492,492,492,0
2022-01-25 13:36:00,492,492,492,492,0
2022-01-25 13:37:00,492,492,492,492,0
2022-01-25 13:38:00,492,492,492,492,0
2022-01-25 13:39:00,492,492,492,492,0
2022-01-25 13:40:00,492,492,492,492,0
2022-01-25 13:41:00,492,492,492,492,0
2022-01-25 13:42:00,492,492,492,492,0
2022-01-25 13:43:00,492,492,492,492,0
2022-01-25 13:44:00,492,492,492,492,0
2022-01-25 13:45:00,492,492,492,492,0
2022-01-25 13:46:00,492,492,492,492,0
2022-01-25 13:47:00,492,492,492,492,0
2022-01-25 13:48:00,494,494,496,496,1300
2022-01-25 13:49:00,494,494,496,496,0
2022-01-25 13:50:00,494,494,496,496,0
2022-01-25 13:51:00,494,494,496,496,0
2022-01-25 13:52:00,494,494,496,496,0
2022-01-25 13:53:00,494,494,496,496,0
2022-01-25 13:54:00,494,494,496,496,0
2022-01-25 13:55:00,494,494,496,496,0
2022-01-25 13:56:00,494,494,496,496,0
2022-01-25 13:57:00,494,494,496,496,0
2022-01-25 13:58:00,496,496,496,496,4000
2022-01-25 13:59:00,496,496,496,496,0
2022-01-25 14:00:00,496,496,496,496,0
2022-01-25 14:01:00,492,492,492,492,1000
2022-01-25 14:02:00,492,492,492,492,0
2022-01-25 14:03:00,492,492,492,492,0
2022-01-25 14:04:00,494,494,494,494,100
2022-01-25 14:05:00,494,494,494,494,0
2022-01-25 14:06:00,496,496,496,496,800
2022-01-25 14:07:00,496,496,496,496,0
2022-01-25 14:08:00,496,496,496,496,0
2022-01-25 14:09:00,496,496,496,496,0
2022-01-25 14:10:00,496,496,496,496,200
2022-01-25 14:11:00,496,496,496,496,1300
2022-01-25 14:12:00,496,496,496,496,0
2022-01-25 14:13:00,496,496,496,496,0
2022-01-25 14:14:00,496,496,496,496,0
2022-01-25 14:15:00,498,498,498,498,100
2022-01-25 14:16:00,498,498,498,498,0
2022-01-25 14:17:00,498,498,498,498,0
2022-01-25 14:18:00,498,498,498,498,0
2022-01-25 14:19:00,498,498,498,498,0
2022-01-25 14:20:00,498,498,498,498,0
2022-01-25 14:21:00,498,498,498,498,0
2022-01-25 14:22:00,498,498,498,498,0
2022-01-25 14:23:00,498,498,498,498,0
2022-01-25 14:24:00,498,498,498,498,0
2022-01-25 14:25:00,498,498,498,498,0
2022-01-25 14:26:00,494,494,494,494,100
2022-01-25 14:27:00,494,494,494,494,0
2022-01-25 14:28:00,494,494,494,494,0
2022-01-25 14:29:00,494,494,494,494,0
2022-01-25 14:30:00,494,494,494,494,0
2022-01-25 14:31:00,496,496,496,496,600
2022-01-25 14:32:00,496,496,498,498,13400
2022-01-25 14:33:00,496,496,498,498,0
2022-01-25 14:34:00,496,496,498,498,0
2022-01-25 14:35:00,496,496,498,498,0
2022-01-25 14:36:00,496,496,498,498,0
2022-01-25 14:37:00,496,496,498,498,0
2022-01-25 14:38:00,498,498,498,498,20000
2022-01-25 14:39:00,498,498,498,498,3900
2022-01-25 14:40:00,498,498,498,498,0
2022-01-25 14:41:00,498,498,498,498,0
2022-01-25 14:42:00,498,498,498,498,200
2022-01-25 14:43:00,498,498,498,498,0
2022-01-25 14:44:00,498,498,498,498,0
2022-01-25 14:45:00,498,498,498,498,14500
2022-01-25 14:46:00,498,498,498,498,0
2022-01-25 14:47:00,498,498,498,498,0
2022-01-25 14:48:00,498,498,498,498,0
2022-01-25 14:49:00,498,498,498,498,1200
2022-01-25 14:50:00,498,498,498,498,0
2022-01-25 14:51:00,498,498,498,498,0
2022-01-25 14:52:00,498,498,498,498,0
2022-01-25 14:53:00,498,498,498,498,0
2022-01-25 14:54:00,498,498,498,498,0
2022-01-25 14:55:00,498,498,498,498,0
2022-01-25 14:56:00,498,498,498,498,0
2022-01-25 14:57:00,498,498,498,498,0
2022-01-25 14:58:00,498,498,498,498,0
2022-01-25 14:59:00,498,498,498,498,0
2022-01-25 15:00:00,500,500,500,500,250000
2022-01-25 15:01:00,500,500,500,500,0
2022-01-25 15:02:00,500,500,500,500,0
2022-01-25 15:03:00,500,500,500,500,0
2022-01-25 15:04:00,500,500,500,500,0
2022-01-25 15:05:00,500,500,500,500,0
2022-01-25 15:06:00,500,500,500,500,0
2022-01-25 15:07:00,500,500,500,500,0
2022-01-25 15:08:00,500,500,500,500,0
2022-01-25 15:09:00,500,500,500,500,0
2022-01-25 15:10:00,500,500,500,500,0
2022-01-25 15:11:00,500,500,500,500,0
2022-01-25 15:12:00,500,500,500,500,0
2022-01-25 15:13:00,500,500,500,500,0
2022-01-25 15:14:00,500,500,500,500,0
2022-01-25 15:15:00,500,500,500,500,0
2022-01-25 15:16:00,500,500,500,500,0
2022-01-25 15:17:00,500,500,500,500,0
2022-01-25 15:18:00,500,500,500,500,0
2022-01-25 15:19:00,500,500,500,500,0
2022-01-25 15:20:00,500,500,500,500,0
2022-01-25 15:21:00,500,500,500,500,0
2022-01-25 15:22:00,500,500,500,500,0
2022-01-25 15:23:00,500,500,500,500,0
2022-01-25 15:24:00,500,500,500,500,0
2022-01-25 15:25:00,500,500,500,500,0
2022-01-25 15:26:00,500,500,500,500,0
2022-01-25 15:27:00,500,500,500,500,0
2022-01-25 15:28:00,500,500,500,500,0
2022-01-25 15:29:00,500,500,500,500,0
2022-01-25 15:30:00,500,500,500,500,0
2022-01-25 15:31:00,500,500,500,500,0
2022-01-25 15:32:00,500,500,500,500,0
2022-01-25 15:33:00,500,500,500,500,0
2022-01-25 15:34:00,500,500,500,500,0
2022-01-25 15:35:00,500,500,500,500,0
2022-01-25 15:36:00,500,500,500,500,0
2022-01-25 15:37:00,500,500,500,500,0
2022-01-25 15:38:00,500,500,500,500,0
2022-01-25 15:39:00,500,500,500,500,0
2022-01-25 15:40:00,500,500,500,500,0
2022-01-25 15:41:00,500,500,500,500,0
2022-01-25 15:42:00,500,500,500,500,0
2022-01-25 15:43:00,500,500,500,500,0
2022-01-25 15:44:00,500,500,500,500,0
2022-01-25 15:45:00,500,500,500,500,0
2022-01-25 15:46:00,500,500,500,500,0
2022-01-25 15:47:00,500,500,500,500,0
2022-01-25 15:48:00,500,500,500,500,0
2022-01-25 15:49:00,500,500,500,500,0
2022-01-25 15:50:00,500,500,500,500,0
2022-01-25 15:51:00,500,500,500,500,0
2022-01-25 15:52:00,500,500,500,500,0
2022-01-25 15:53:00,500,500,500,500,0
2022-01-25 15:54:00,500,500,500,500,0
2022-01-25 15:55:00,500,500,500,500,0
2022-01-25 15:56:00,500,500,500,500,0
2022-01-25 15:57:00,500,500,500,500,0
2022-01-25 15:58:00,500,500,500,500,0
2022-01-25 15:59:00,500,500,500,500,0
2022-01-26 09:00:00,500,500,500,500,0
2022-01-26 09:01:00,500,500,500,500,0
2022-01-26 09:02:00,498,498,498,498,300
2022-01-26 09:03:00,498,498,498,498,0
2022-01-26 09:04:00,496,496,496,496,200
2022-01-26 09:05:00,496,496,496,496,0
2022-01-26 09:06:00,496,496,496,496,0
2022-01-26 09:07:00,496,496,496,496,0
2022-01-26 09:08:00,496,496,496,496,0
2022-01-26 09:09:00,496,496,496,496,0
2022-01-26 09:10:00,496,496,496,496,0
2022-01-26 09:11:00,496,496,496,496,0
2022-01-26 09:12:00,496,496,496,496,0
2022-01-26 09:13:00,496,496,496,496,0
2022-01-26 09:14:00,496,496,496,496,0
2022-01-26 09:15:00,496,496,496,496,1000
2022-01-26 09:16:00,496,496,496,496,0
2022-01-26 09:17:00,496,496,496,496,0
2022-01-26 09:18:00,496,496,496,496,0
2022-01-26 09:19:00,496,496,496,496,0
2022-01-26 09:20:00,496,496,496,496,100
2022-01-26 09:21:00,496,496,496,496,100
2022-01-26 09:22:00,496,496,496,496,0
2022-01-26 09:23:00,496,496,496,496,0
2022-01-26 09:24:00,496,496,496,496,0
2022-01-26 09:25:00,496,496,496,496,0
2022-01-26 09:26:00,496,496,496,496,0
2022-01-26 09:27:00,496,496,496,496,0
2022-01-26 09:28:00,496,496,496,496,0
2022-01-26 09:29:00,496,496,496,496,4200
2022-01-26 09:30:00,496,496,496,496,0
2022-01-26 09:31:00,496,496,496,496,0
2022-01-26 09:32:00,496,496,496,496,0
2022-01-26 09:33:00,496,496,496,496,0
2022-01-26 09:34:00,496,496,496,496,0
2022-01-26 09:35:00,496,496,496,496,0
2022-01-26 09:36:00,496,496,496,496,0
2022-01-26 09:37:00,496,496,496,496,0
2022-01-26 09:38:00,496,496,496,496,0
2022-01-26 09:39:00,496,496,496,496,0
2022-01-26 09:40:00,496,496,496,496,0
2022-01-26 09:41:00,496,496,496,496,0
2022-01-26 09:42:00,496,496,496,496,0
2022-01-26 09:43:00,496,496,496,496,0
2022-01-26 09:44:00,496,496,496,496,0
2022-01-26 09:45:00,496,496,496,496,400
2022-01-26 09:46:00,496,496,496,496,0
2022-01-26 09:47:00,496,496,496,496,0
2022-01-26 09:48:00,496,496,496,496,0
2022-01-26 09:49:00,496,496,496,496,0
2022-01-26 09:50:00,494,494,494,494,1100
2022-01-26 09:51:00,496,496,496,496,400
2022-01-26 09:52:00,496,496,496,496,0
2022-01-26 09:53:00,496,496,496,496,0
2022-01-26 09:54:00,496,496,496,496,0
2022-01-26 09:55:00,496,496,496,496,200
2022-01-26 09:56:00,496,494,496,494,700
2022-01-26 09:57:00,496,494,496,494,0
2022-01-26 09:58:00,496,496,496,496,100000
2022-01-26 09:59:00,496,496,496,496,100
2022-01-26 10:00:00,496,496,496,496,20000
2022-01-26 10:01:00,496,496,496,496,0
2022-01-26 10:02:00,496,496,496,496,0
2022-01-26 10:03:00,496,496,496,496,0
2022-01-26 10:04:00,496,496,496,496,0
2022-01-26 10:05:00,496,496,496,496,0
2022-01-26 10:06:00,496,496,496,496,0
2022-01-26 10:07:00,496,496,496,496,5000
2022-01-26 10:08:00,496,496,496,496,1000
2022-01-26 10:09:00,496,496,496,496,0
2022-01-26 10:10:00,496,496,496,496,0
2022-01-26 10:11:00,496,496,496,496,0
2022-01-26 10:12:00,496,496,496,496,0
2022-01-26 10:13:00,496,496,496,496,0
2022-01-26 10:14:00,496,496,496,496,100
2022-01-26 10:15:00,496,496,496,496,0
2022-01-26 10:16:00,496,496,496,496,0
2022-01-26 10:17:00,496,496,496,496,0
2022-01-26 10:18:00,496,496,496,496,0
2022-01-26 10:19:00,494,494,494,494,2000
2022-01-26 10:20:00,494,494,494,494,0
2022-01-26 10:21:00,494,494,494,494,0
2022-01-26 10:22:00,496,496,496,496,500
2022-01-26 10:23:00,496,496,496,496,0
2022-01-26 10:24:00,496,496,496,496,0
2022-01-26 10:25:00,494,494,494,494,2000
2022-01-26 10:26:00,494,494,494,494,0
2022-01-26 10:27:00,494,494,494,494,0
2022-01-26 10:28:00,494,494,494,494,0
2022-01-26 10:29:00,494,494,494,494,0
2022-01-26 10:30:00,494,494,494,494,10800
2022-01-26 10:31:00,494,494,494,494,0
2022-01-26 10:32:00,494,494,494,494,0
2022-01-26 10:33:00,494,494,494,494,0
2022-01-26 10:34:00,494,494,494,494,0
2022-01-26 10:35:00,494,494,494,494,0
2022-01-26 10:36:00,494,494,494,494,0
2022-01-26 10:37:00,494,494,494,494,0
2022-01-26 10:38:00,494,494,494,494,0
2022-01-26 10:39:00,494,494,494,494,0
2022-01-26 10:40:00,496,496,496,496,200
2022-01-26 10:41:00,496,496,496,496,100
2022-01-26 10:42:00,496,496,496,496,0
2022-01-26 10:43:00,496,496,496,496,0
2022-01-26 10:44:00,496,496,496,496,0
2022-01-26 10:45:00,496,496,496,496,0
2022-01-26 10:46:00,496,496,496,496,0
2022-01-26 10:47:00,496,496,496,496,0
2022-01-26 10:48:00,496,496,496,496,0
2022-01-26 10:49:00,496,496,496,496,0
2022-01-26 10:50:00,496,496,496,496,0
2022-01-26 10:51:00,496,496,496,496,1100
2022-01-26 10:52:00,496,496,496,496,0
2022-01-26 10:53:00,496,496,496,496,0
2022-01-26 10:54:00,496,496,496,496,0
2022-01-26 10:55:00,496,496,496,496,0
2022-01-26 10:56:00,496,496,496,496,0
2022-01-26 10:57:00,494,494,494,494,20000
2022-01-26 10:58:00,494,494,494,494,20000
2022-01-26 10:59:00,494,494,494,494,0
2022-01-26 11:00:00,494,494,494,494,10500
2022-01-26 11:01:00,494,494,494,494,0
2022-01-26 11:02:00,494,494,494,494,0
2022-01-26 11:03:00,494,494,494,494,0
2022-01-26 11:04:00,494,494,494,494,0
2022-01-26 11:05:00,494,494,494,494,0
2022-01-26 11:06:00,494,494,494,494,0
2022-01-26 11:07:00,494,494,494,494,0
2022-01-26 11:08:00,494,494,494,494,0
2022-01-26 11:09:00,494,494,494,494,0
2022-01-26 11:10:00,494,494,494,494,0
2022-01-26 11:11:00,494,494,494,494,0
2022-01-26 11:12:00,494,494,494,494,0
2022-01-26 11:13:00,494,494,494,494,74400
2022-01-26 11:14:00,494,494,494,494,5000
2022-01-26 11:15:00,494,494,494,494,0
2022-01-26 11:16:00,492,492,492,492,11600
2022-01-26 11:17:00,492,492,492,492,0
2022-01-26 11:18:00,492,492,492,492,0
2022-01-26 11:19:00,492,492,492,492,0
2022-01-26 11:20:00,492,492,492,492,0
2022-01-26 11:21:00,492,492,492,492,0
2022-01-26 11:22:00,492,492,492,492,0
2022-01-26 11:23:00,492,492,492,492,0
2022-01-26 11:24:00,492,492,492,492,0
2022-01-26 11:25:00,492,492,492,492,0
2022-01-26 11:26:00,492,492,492,492,0
2022-01-26 11:27:00,492,492,492,492,0
2022-01-26 11:28:00,492,492,492,492,0
2022-01-26 11:29:00,492,492,492,492,0
2022-01-26 11:30:00,492,492,492,492,0
2022-01-26 11:31:00,492,492,492,492,0
2022-01-26 11:32:00,492,492,492,492,0
2022-01-26 11:33:00,492,492,492,492,0
2022-01-26 11:34:00,492,492,492,492,0
2022-01-26 11:35:00,492,492,492,492,0
2022-01-26 11:36:00,492,492,492,492,0
2022-01-26 11:37:00,492,492,492,492,0
2022-01-26 11:38:00,492,492,492,492,0
2022-01-26 11:39:00,492,492,492,492,0
2022-01-26 11:40:00,492,492,492,492,0
2022-01-26 11:41:00,492,492,492,492,0
2022-01-26 11:42:00,492,492,492,492,0
2022-01-26 11:43:00,492,492,492,492,0
2022-01-26 11:44:00,492,492,492,492,0
2022-01-26 11:45:00,492,492,492,492,0
2022-01-26 11:46:00,492,492,492,492,0
2022-01-26 11:47:00,492,492,492,492,0
2022-01-26 11:48:00,492,492,492,492,0
2022-01-26 11:49:00,492,492,492,492,0
2022-01-26 11:50:00,492,492,492,492,0
2022-01-26 11:51:00,492,492,492,492,0
2022-01-26 11:52:00,492,492,492,492,0
2022-01-26 11:53:00,492,492,492,492,0
2022-01-26 11:54:00,492,492,492,492,0
2022-01-26 11:55:00,492,492,492,492,0
2022-01-26 11:56:00,492,492,492,492,0
2022-01-26 11:57:00,492,492,492,492,0
2022-01-26 11:58:00,492,492,492,492,0
2022-01-26 11:59:00,492,492,492,492,0
2022-01-26 12:00:00,492,492,492,492,0
2022-01-26 12:01:00,492,492,492,492,0
2022-01-26 12:02:00,492,492,492,492,0
2022-01-26 12:03:00,492,492,492,492,0
2022-01-26 12:04:00,492,492,492,492,0
2022-01-26 12:05:00,492,492,492,492,0
2022-01-26 12:06:00,492,492,492,492,0
2022-01-26 12:07:00,492,492,492,492,0
2022-01-26 12:08:00,492,492,492,492,0
2022-01-26 12:09:00,492,492,492,492,0
2022-01-26 12:10:00,492,492,492,492,0
2022-01-26 12:11:00,492,492,492,492,0
2022-01-26 12:12:00,492,492,492,492,0
2022-01-26 12:13:00,492,492,492,492,0
2022-01-26 12:14:00,492,492,492,492,0
2022-01-26 12:15:00,492,492,492,492,0
2022-01-26 12:16:00,492,492,492,492,0
2022-01-26 12:17:00,492,492,492,492,0
2022-01-26 12:18:00,492,492,492,492,0
2022-01-26 12:19:00,492,492,492,492,0
2022-01-26 12:20:00,492,492,492,492,0
2022-01-26 12:21:00,492,492,492,492,0
2022-01-26 12:22:00,492,492,492,492,0
2022-01-26 12:23:00,492,492,492,492,0
2022-01-26 12:24:00,492,492,492,492,0
2022-01-26 12:25:00,492,492,492,492,0
2022-01-26 12:26:00,492,492,492,492,0
2022-01-26 12:27:00,492,492,492,492,0
2022-01-26 12:28:00,492,492,492,492,0
2022-01-26 12:29:00,492,492,492,492,0
2022-01-26 12:30:00,492,492,492,492,0
2022-01-26 12:31:00,492,492,492,492,0
2022-01-26 12:32:00,492,492,492,492,0
2022-01-26 12:33:00,492,492,492,492,0
2022-01-26 12:34:00,492,492,492,492,0
2022-01-26 12:35:00,492,492,492,492,0
2022-01-26 12:36:00,492,492,492,492,0
2022-01-26 12:37:00,492,492,492,492,0
2022-01-26 12:38:00,492,492,492,492,0
2022-01-26 12:39:00,492,492,492,492,0
2022-01-26 12:40:00,492,492,492,492,0
2022-01-26 12:41:00,492,492,492,492,0
2022-01-26 12:42:00,492,492,492,492,0
2022-01-26 12:43:00,492,492,492,492,0
2022-01-26 12:44:00,492,492,492,492,0
2022-01-26 12:45:00,492,492,492,492,0
2022-01-26 12:46:00,492,492,492,492,0
2022-01-26 12:47:00,492,492,492,492,0
2022-01-26 12:48:00,492,492,492,492,0
2022-01-26 12:49:00,492,492,492,492,0
2022-01-26 12:50:00,492,492,492,492,0
2022-01-26 12:51:00,492,492,492,492,0
2022-01-26 12:52:00,492,492,492,492,0
2022-01-26 12:53:00,492,492,492,492,0
2022-01-26 12:54:00,492,492,492,492,0
2022-01-26 12:55:00,492,492,492,492,0
2022-01-26 12:56:00,492,492,492,492,0
2022-01-26 12:57:00,492,492,492,492,0
2022-01-26 12:58:00,492,492,492,492,0
2022-01-26 12:59:00,492,492,492,492,0
2022-01-26 13:00:00,492,492,492,492,0
2022-01-26 13:01:00,492,492,492,492,0
2022-01-26 13:02:00,492,492,492,492,0
2022-01-26 13:03:00,492,492,492,492,0
2022-01-26 13:04:00,492,492,492,492,0
2022-01-26 13:05:00,492,492,492,492,0
2022-01-26 13:06:00,492,492,492,492,0
2022-01-26 13:07:00,492,492,492,492,0
2022-01-26 13:08:00,492,492,492,492,0
2022-01-26 13:09:00,492,492,492,492,0
2022-01-26 13:10:00,492,492,492,492,0
2022-01-26 13:11:00,492,492,492,492,0
2022-01-26 13:12:00,492,492,492,492,0
2022-01-26 13:13:00,492,492,492,492,0
2022-01-26 13:14:00,492,492,492,492,0
2022-01-26 13:15:00,492,492,492,492,0
2022-01-26 13:16:00,492,492,492,492,0
2022-01-26 13:17:00,492,492,492,492,0
2022-01-26 13:18:00,492,492,492,492,0
2022-01-26 13:19:00,492,492,492,492,0
2022-01-26 13:20:00,492,492,492,492,0
2022-01-26 13:21:00,492,492,492,492,0
2022-01-26 13:22:00,492,492,492,492,0
2022-01-26 13:23:00,492,492,492,492,0
2022-01-26 13:24:00,492,492,492,492,0
2022-01-26 13:25:00,492,492,492,492,0
2022-01-26 13:26:00,492,492,492,492,0
2022-01-26 13:27:00,492,492,492,492,0
2022-01-26 13:28:00,492,492,492,492,0
2022-01-26 13:29:00,492,492,492,492,0
2022-01-26 13:30:00,492,492,492,492,0
2022-01-26 13:31:00,492,492,492,492,0
2022-01-26 13:32:00,492,492,492,492,0
2022-01-26 13:33:00,492,492,492,492,0
2022-01-26 13:34:00,492,492,492,492,0
2022-01-26 13:35:00,492,492,492,492,0
2022-01-26 13:36:00,492,492,492,492,0
2022-01-26 13:37:00,494,494,494,494,8100
2022-01-26 13:38:00,494,494,494,494,1800
2022-01-26 13:39:00,494,494,494,494,0
2022-01-26 13:40:00,494,494,494,494,0
2022-01-26 13:41:00,494,494,494,494,0
2022-01-26 13:42:00,494,494,494,494,0
2022-01-26 13:43:00,494,492,494,492,385400
2022-01-26 13:44:00,494,492,494,492,0
2022-01-26 13:45:00,492,492,492,492,400
2022-01-26 13:46:00,492,492,492,492,0
2022-01-26 13:47:00,492,492,492,492,0
2022-01-26 13:48:00,492,492,492,492,0
2022-01-26 13:49:00,492,492,492,492,6800
2022-01-26 13:50:00,492,492,492,492,10100
2022-01-26 13:51:00,492,492,492,492,3000
2022-01-26 13:52:00,492,492,492,492,100
2022-01-26 13:53:00,492,492,492,492,1800
2022-01-26 13:54:00,492,492,492,492,1500
2022-01-26 13:55:00,492,492,492,492,8400
2022-01-26 13:56:00,492,492,492,492,0
2022-01-26 13:57:00,492,492,492,492,0
2022-01-26 13:58:00,492,492,492,492,0
2022-01-26 13:59:00,492,492,492,492,0
2022-01-26 14:00:00,492,492,492,492,0
2022-01-26 14:01:00,492,492,492,492,2800
2022-01-26 14:02:00,492,492,492,492,0
2022-01-26 14:03:00,492,492,492,492,0
2022-01-26 14:04:00,492,492,492,492,400
2022-01-26 14:05:00,492,492,492,492,0
2022-01-26 14:06:00,492,492,492,492,5000
2022-01-26 14:07:00,492,492,492,492,50000
2022-01-26 14:08:00,492,492,492,492,0
2022-01-26 14:09:00,492,492,492,492,5000
2022-01-26 14:10:00,492,492,492,492,100
2022-01-26 14:11:00,490,490,490,490,295400
2022-01-26 14:12:00,490,490,490,490,203600
2022-01-26 14:13:00,490,490,490,490,0
2022-01-26 14:14:00,490,490,490,490,1500
2022-01-26 14:15:00,490,490,490,490,0
2022-01-26 14:16:00,490,490,490,490,0
2022-01-26 14:17:00,490,490,490,490,0
2022-01-26 14:18:00,490,490,494,494,600000
2022-01-26 14:19:00,490,490,490,490,400
2022-01-26 14:20:00,490,490,490,490,12100
2022-01-26 14:21:00,490,490,490,490,0
2022-01-26 14:22:00,490,490,490,490,500
2022-01-26 14:23:00,490,490,490,490,5000
2022-01-26 14:24:00,490,490,490,490,2000
2022-01-26 14:25:00,490,490,490,490,13000
2022-01-26 14:26:00,490,490,490,490,0
2022-01-26 14:27:00,490,490,490,490,0
2022-01-26 14:28:00,490,490,490,490,0
2022-01-26 14:29:00,490,490,490,490,0
2022-01-26 14:30:00,490,490,490,490,0
2022-01-26 14:31:00,490,490,490,490,0
2022-01-26 14:32:00,490,490,490,490,2000
2022-01-26 14:33:00,490,490,490,490,900
2022-01-26 14:34:00,490,490,490,490,900
2022-01-26 14:35:00,490,490,490,490,0
2022-01-26 14:36:00,490,490,490,490,0
2022-01-26 14:37:00,490,488,490,490,33200
2022-01-26 14:38:00,490,488,490,490,0
2022-01-26 14:39:00,490,490,490,490,1000
2022-01-26 14:40:00,490,490,490,490,0
2022-01-26 14:41:00,490,490,490,490,0
2022-01-26 14:42:00,490,490,490,490,0
2022-01-26 14:43:00,490,490,490,490,0
2022-01-26 14:44:00,490,490,490,490,0
2022-01-26 14:45:00,490,490,490,490,0
2022-01-26 14:46:00,490,490,490,490,0
2022-01-26 14:47:00,490,490,490,490,300
2022-01-26 14:48:00,490,490,490,490,0
2022-01-26 14:49:00,490,490,490,490,5000
2022-01-26 14:50:00,490,490,490,490,0
2022-01-26 14:51:00,490,490,490,490,0
2022-01-26 14:52:00,490,490,490,490,0
2022-01-26 14:53:00,490,490,490,490,0
2022-01-26 14:54:00,490,490,490,490,0
2022-01-26 14:55:00,490,490,490,490,0
2022-01-26 14:56:00,490,490,490,490,0
2022-01-26 14:57:00,490,490,490,490,0
2022-01-26 14:58:00,490,490,490,490,0
2022-01-26 14:59:00,490,490,490,490,0
2022-01-26 15:00:00,490,490,490,490,502800
2022-01-26 15:01:00,490,490,490,490,0
2022-01-26 15:02:00,490,490,490,490,0
2022-01-26 15:03:00,490,490,490,490,200
2022-01-26 15:04:00,490,490,490,490,400
2022-01-26 15:05:00,490,490,490,490,1000
2022-01-26 15:06:00,490,490,490,490,1100
2022-01-26 15:07:00,490,490,490,490,0
2022-01-26 15:08:00,490,490,490,490,0
2022-01-26 15:09:00,490,490,490,490,600
2022-01-26 15:10:00,490,490,490,490,100
2022-01-26 15:11:00,490,490,490,490,0
2022-01-26 15:12:00,490,490,490,490,0
2022-01-26 15:13:00,490,490,490,490,0
2022-01-26 15:14:00,490,490,490,490,2467300
2022-01-26 15:15:00,490,490,490,490,0
2022-01-26 15:16:00,490,490,490,490,0
2022-01-26 15:17:00,490,490,490,490,0
2022-01-26 15:18:00,490,490,490,490,0
2022-01-26 15:19:00,490,490,490,490,0
2022-01-26 15:20:00,490,490,490,490,0
2022-01-26 15:21:00,490,490,490,490,0
2022-01-26 15:22:00,490,490,490,490,0
2022-01-26 15:23:00,490,490,490,490,0
2022-01-26 15:24:00,490,490,490,490,0
2022-01-26 15:25:00,490,490,490,490,0
2022-01-26 15:26:00,490,490,490,490,0
2022-01-26 15:27:00,490,490,490,490,0
